accident_index,accident_y,speed_limit,vehicle_type,date,day_of_week,accident_severity,road_type,longitude,latitude,number_of_vehicles,time,geometry
2019010157957,2019,20,1,17/01/2019,5,3,6,-0.317844,51.557805,2,09:54:00.000,POINT (516711.5789202276 185665.227241302)
2019010157973,2019,30,1,15/01/2019,3,2,6,-0.029818,51.5262,1,17:40:00.000,POINT (536771.8991072929 182649.1830136728)
2019010157993,2019,30,1,17/01/2019,5,3,6,-0.077579,51.474538,2,08:15:00.000,POINT (533609.800708028 176816.107429467)
2019010157995,2019,40,1,17/01/2019,5,3,3,-0.328188,51.456607,2,07:35:00.000,POINT (516251.5728589288 174394.9506259731)
2019010157995,2019,40,1,17/01/2019,5,3,3,-0.328188,51.456607,2,07:35:00.000,POINT (516251.5728589288 174394.9506259731)
2019010157996,2019,30,1,17/01/2019,5,3,3,-0.189664,51.492851,2,09:30:00.000,POINT (525775.6781385418 178654.1816740738)
2019010157998,2019,30,1,17/01/2019,5,3,6,-0.098539,51.468459,2,12:30:00.000,POINT (532171.7914445029 176102.1003821638)
2019010158013,2019,30,1,11/01/2019,6,3,6,-0.121287,51.510543,2,22:35:00.000,POINT (530471.74584078 180741.188153658)
2019010158105,2019,30,1,17/01/2019,5,3,3,-0.176713,51.526418,2,16:10:00.000,POINT (526581.7156875554 182409.2834101904)
2019010158107,2019,30,1,17/01/2019,5,3,9,-0.111253,51.488323,2,19:20:00.000,POINT (531231.7682533863 178288.1777559912)
2019010158115,2019,20,1,16/01/2019,4,3,6,-0.113029,51.495905,2,16:50:00.000,POINT (531086.737431161 179128.1389433239)
2019010158131,2019,30,1,17/01/2019,5,3,6,-0.080632,51.655088,2,12:40:00.000,POINT (532870.8150520707 196888.3755282317)
2019010158138,2019,30,1,17/01/2019,5,3,6,-0.152966,51.524005,3,07:22:00.000,POINT (528235.738610432 182182.2619688351)
2019010158138,2019,30,1,17/01/2019,5,3,6,-0.152966,51.524005,3,07:22:00.000,POINT (528235.738610432 182182.2619688351)
2019010158144,2019,30,1,18/01/2019,6,3,3,-0.313018,51.414818,2,08:00:00.000,POINT (517412.4938638898 169771.9826960319)
2019010158174,2019,20,1,18/01/2019,6,3,6,-0.092675,51.490648,2,09:15:00.000,POINT (532514.7909513857 178580.163315198)
2019010158178,2019,30,1,16/01/2019,4,2,6,-0.298094,51.451858,3,09:00:00.000,POINT (518354.5932199449 173914.9888429597)
2019010158186,2019,30,1,17/01/2019,5,3,6,-0.337133,51.427132,2,14:40:00.000,POINT (515704.5239563299 171103.0345126337)
2019010158222,2019,30,1,16/01/2019,4,3,6,0.215796,51.562996,2,07:00:00.000,POINT (553684.8413383543 187228.2356546232)
2019010158230,2019,20,1,16/01/2019,4,3,6,-0.23201,51.499738,2,09:30:00.000,POINT (522817.6038594173 179348.2047675094)
2019010158267,2019,20,1,18/01/2019,6,2,6,-0.092595,51.54222,2,18:35:00.000,POINT (532370.8616241529 184315.2725553975)
2019010158285,2019,30,1,16/01/2019,4,2,3,-0.123506,51.509482,2,17:50:00.000,POINT (530320.7937463217 180619.2509791359)
2019010158307,2019,30,1,18/01/2019,6,3,3,-0.013946,51.429088,2,19:00:00.000,POINT (538165.8075515118 171879.9734374073)
2019010158314,2019,20,1,19/01/2019,7,3,7,-0.077806,51.522887,2,00:10:00.000,POINT (533452.8436071114 182192.2256623722)
2019010158417,2019,20,1,19/01/2019,7,3,6,-0.096716,51.539904,2,20:24:00.000,POINT (532091.804143191 184050.2821926206)
2019010158431,2019,30,1,19/01/2019,7,3,6,-0.0754,51.505438,2,15:28:00.000,POINT (533670.7817924605 180256.2357778138)
2019010158464,2019,30,1,19/01/2019,7,3,6,-0.33118,51.445248,2,12:25:00.000,POINT (516072.4836942506 173127.0309054651)
2019010158477,2019,30,1,20/01/2019,1,2,6,-0.10463,51.43648,2,07:40:00.000,POINT (531840.770182253 172534.9993111299)
2019010158481,2019,20,1,20/01/2019,1,2,3,-0.275521,51.427932,1,09:30:00.000,POINT (519985.6155193165 171290.9974275409)
2019010158505,2019,20,1,20/01/2019,1,3,3,-0.211301,51.471501,2,15:45:00.000,POINT (524331.6835933559 176243.0516007073)
2019010158528,2019,30,1,20/01/2019,1,3,6,-0.425607,51.437355,2,17:30:00.000,POINT (509529.4494429232 172104.0333990571)
2019010158572,2019,30,1,11/01/2019,6,2,6,-0.029874,51.526228,2,17:40:00.000,POINT (536767.9307849261 182652.1920803228)
2019010158576,2019,30,1,21/01/2019,2,3,6,0.044896,51.374687,2,08:00:00.000,POINT (542424.8711492585 165943.1555030169)
2019010158580,2019,20,1,21/01/2019,2,3,6,0.013834,51.486025,2,07:25:00.000,POINT (539922.776016031 178264.1097327592)
2019010158588,2019,30,1,21/01/2019,2,3,6,-0.31732,51.540334,2,07:30:00.000,POINT (516792.5938024364 183723.1703232904)
2019010158609,2019,30,1,21/01/2019,2,3,6,-0.149157,51.454728,2,09:00:00.000,POINT (528694.7388545834 174485.0997481776)
2019010158724,2019,30,1,21/01/2019,2,3,6,-0.31788,51.451568,3,18:36:00.000,POINT (516980.5797871023 173850.9841692991)
2019010158724,2019,30,1,21/01/2019,2,3,6,-0.31788,51.451568,3,18:36:00.000,POINT (516980.5797871023 173850.9841692991)
2019010158735,2019,30,1,21/01/2019,2,3,6,-0.161157,51.484215,2,13:00:00.000,POINT (527778.692120697 177743.150354635)
2019010158738,2019,30,1,21/01/2019,2,3,6,-0.006139,51.548138,2,20:30:00.000,POINT (538347.9164603741 185133.2299951203)
2019010158750,2019,20,1,21/01/2019,2,2,3,-0.141303,51.542418,2,23:30:00.000,POINT (528992.7834980441 184250.3492387192)
2019010158751,2019,20,1,22/01/2019,3,2,6,0.12985,51.571116,3,00:14:00.000,POINT (547701.8155147077 187954.178475163)
2019010158836,2019,30,1,22/01/2019,3,3,6,-0.061157,51.452937,2,08:15:00.000,POINT (534813.817415316 174444.1092683903)
2019010158865,2019,20,1,22/01/2019,3,3,6,-0.105326,51.485359,2,07:55:00.000,POINT (531651.7749174363 177969.205546778)
2019010158891,2019,20,1,22/01/2019,3,3,1,-0.078262,51.605167,2,16:38:00.000,POINT (533180.7657270853 191341.2322169282)
2019010158892,2019,20,1,22/01/2019,3,3,6,-0.062475,51.478579,2,17:15:00.000,POINT (534646.80139869 177293.1217604568)
2019010158932,2019,30,1,22/01/2019,3,3,6,-0.144134,51.525664,2,18:20:00.000,POINT (528843.7366632156 182382.2516255236)
2019010158934,2019,30,1,22/01/2019,3,3,1,-0.213069,51.428435,2,17:10:00.000,POINT (524325.7250923307 171450.9588642117)
2019010158946,2019,20,1,22/01/2019,3,3,1,-0.091506,51.549297,2,18:35:00.000,POINT (532425.841954909 185104.2296053665)
2019010158958,2019,20,1,22/01/2019,3,3,1,-0.043095,51.517807,2,22:49:00.000,POINT (535875.8903782129 181691.1452377777)
2019010158961,2019,20,1,22/01/2019,3,3,6,-0.076747,51.539461,2,18:25:00.000,POINT (533477.8580813658 184037.2360115177)
2019010158994,2019,30,1,22/01/2019,3,3,6,-0.164889,51.59098,2,15:55:00.000,POINT (527221.7628254399 189609.3931246023)
2019010158997,2019,30,1,22/01/2019,3,3,6,-0.263888,51.597611,2,17:35:00.000,POINT (520346.7049279057 190179.3116814231)
2019010159010,2019,30,1,06/01/2019,1,3,6,-0.017006,51.449779,2,18:36:00.000,POINT (537890.8128148408 174175.0643862721)
2019010159013,2019,30,1,23/01/2019,4,2,7,-0.291441,51.518252,2,07:34:00.000,POINT (518644.5550304472 181309.1119532631)
2019010159048,2019,30,1,22/01/2019,3,2,1,-0.022643,51.476205,2,19:30:00.000,POINT (537419.7959220799 177103.0765171894)
2019010159087,2019,30,1,23/01/2019,4,3,6,0.190115,51.577741,2,12:57:00.000,POINT (551855.8416880397 188814.2488884181)
2019010159149,2019,20,1,23/01/2019,4,3,6,-0.092965,51.528548,2,13:52:00.000,POINT (532384.8366345798 182794.2308418276)
2019010159151,2019,30,1,23/01/2019,4,3,6,-0.160814,51.4734,2,17:10:00.000,POINT (527832.7166674868 176541.083823574)
2019010159154,2019,30,1,22/01/2019,3,3,6,-0.100058,51.523025,2,16:30:00.000,POINT (531908.7943884723 182167.2552123609)
2019010159160,2019,20,1,23/01/2019,4,3,2,-0.106275,51.522244,2,18:28:00.000,POINT (531479.7610566708 182069.2252924865)
2019010159167,2019,30,1,23/01/2019,4,3,6,-0.219942,51.484429,2,11:03:00.000,POINT (523696.6113711223 177666.0759560938)
